TeD,TrD1,TrD2,TrD3,TrD4,TrD5,TrD6,TrD7,TrD8,model,score
TeD1,0,0,0,0,0,0,0,0,B1,0.693203252175511
TeD2,0,0,0,0,0,0,0,0,B1,0.580722891566265
TeD3,0,0,0,0,0,0,0,0,B1,0.677170418006431
TeD4,0,0,0,0,0,0,0,0,B1,0.56643495531281
TeD5,0,0,0,0,0,0,0,0,B1,0.0372899407350441
TeD6,0,0,0,0,0,0,0,0,B1,0.401104963936232
TeD7,0,0,0,0,0,0,0,0,B1,0.214224938821543
TeD1,0,0,0,0,0,0,0,0,B2,0.519693280622921
TeD2,0,0,0,0,0,0,0,0,B2,0.522347454333463
TeD3,0,0,0,0,0,0,0,0,B2,0.562700964630225
TeD4,0,0,0,0,0,0,0,0,B2,0.546573982125124
TeD5,0,0,0,0,0,0,0,0,B2,0.026207214750538
TeD6,0,0,0,0,0,0,0,0,B2,0.117423542595447
TeD7,0,0,0,0,0,0,0,0,B2,1e-06
TeD1,1,1,0,0,0,1,0,0,M3,0.89467210348712
TeD1,1,1,1,0,1,1,1,0,M3,0.896449992663602
TeD1,0,1,1,0,0,0,0,0,M3,0.884363874283617
TeD1,0,0,1,0,0,0,0,1,M3,0.708820731752362
TeD1,0,1,0,1,1,1,1,1,M3,0.897306438585859
TeD1,1,0,1,0,0,1,0,0,M3,0.678966277971727
TeD1,1,0,1,1,1,1,0,1,M3,0.740042339953815
TeD1,1,1,1,0,1,1,0,1,M3,0.899111724644083
TeD1,0,0,0,0,0,1,1,0,M3,0.708862163859129
TeD1,1,0,0,0,0,1,0,0,M3,0.67041023905311
TeD1,0,1,0,0,1,0,1,0,M3,0.899697402564683
TeD1,1,0,1,1,1,1,1,1,M3,0.755398119701521
TeD1,1,1,0,0,0,0,0,0,M3,0.887292234573549
TeD1,0,1,1,0,1,1,0,0,M3,0.894968808498265
TeD1,0,0,0,0,0,1,0,1,M3,0.725393047907848
TeD1,0,1,0,0,0,1,0,1,M3,0.893741223591915
TeD1,0,0,1,1,1,1,1,1,M3,0.75159288833092
TeD1,0,0,0,0,1,1,0,0,M3,0.717442888719804
TeD1,0,1,0,0,0,0,0,1,M3,0.900250217641651
TeD1,0,1,0,0,1,1,1,0,M3,0.894658251818831
TeD1,0,1,0,0,0,1,0,0,M3,0.892578620118919
TeD1,0,1,0,1,0,1,0,1,M3,0.898502818847017
TeD1,1,1,0,0,1,0,0,0,M3,0.900579740284743
TeD1,0,1,0,0,1,1,0,1,M3,0.899387790046179
TeD1,0,0,1,0,0,1,0,1,M3,0.732990028126728
TeD1,0,1,0,1,0,1,0,0,M3,0.899972447474431
TeD1,1,1,1,1,1,0,1,0,M3,0.896769363950705
TeD1,0,1,1,0,0,0,1,0,M3,0.896742298094388
TeD1,1,1,0,1,1,0,1,1,M3,0.895256169324296
TeD1,0,1,1,0,0,1,1,0,M3,0.895551062345
TeD1,1,1,1,1,1,0,1,1,M3,0.903823971456494
TeD1,1,1,1,0,0,1,1,1,M3,0.899116246670878
TeD1,1,0,1,0,0,0,0,0,M3,0.642451843208184
TeD1,1,0,1,1,1,0,0,0,M3,0.717720705453705
TeD1,0,1,0,0,0,0,1,0,M3,0.894401519719698
TeD1,1,1,1,0,0,1,0,0,M3,0.895557105128517
TeD1,0,1,1,1,1,1,1,1,M3,0.90292593963547
TeD1,0,1,1,0,1,1,0,1,M3,0.900267540176319
TeD1,0,0,1,0,0,1,0,0,M3,0.667723130308653
TeD1,0,1,1,1,0,1,0,0,M3,0.891722097413578
TeD1,0,1,0,0,0,0,1,1,M3,0.90147095349694
TeD1,1,0,0,1,0,0,0,0,M3,0.624153680908312
TeD1,1,1,1,0,0,0,0,0,M3,0.888774862712524
TeD1,0,1,1,0,1,1,1,0,M3,0.905577550928029
TeD1,0,1,0,0,1,0,0,0,M3,0.902352362277186
TeD1,1,1,1,1,1,1,0,1,M3,0.903198335393333
TeD1,0,1,1,0,1,0,0,1,M3,0.899078891791019
TeD1,0,1,1,0,0,1,0,0,M3,0.889953905669561
TeD1,1,0,1,1,1,1,0,0,M3,0.736556809540744
TeD1,0,1,0,0,1,1,0,0,M3,0.899923889626503
TeD1,0,1,0,0,0,1,1,0,M3,0.892891887286372
TeD1,1,0,1,1,0,0,1,1,M3,0.750457197148074
TeD1,1,1,0,1,0,1,1,1,M3,0.905876022266263
TeD1,1,1,0,0,1,1,0,0,M3,0.895238601445092
