,0
0,4
1,8
2,4
3,5
4,3
5,8
6,9
7,2
8,1
9,1
10,7
11,8
12,5
13,3
14,4
15,5
16,5
17,7
18,4
19,2
20,8
21,8
22,6
23,2
24,2
25,6
26,5
27,4
28,2
29,4
30,6
31,7
32,0
33,1
34,3
35,4
36,4
37,8
38,1
39,2
40,0
41,3
42,4
43,0
44,7
45,3
46,6
47,5
48,1
49,9
50,0
51,0
52,6
53,4
54,9
55,7
56,5
57,9
58,4
59,7
60,0
61,8
62,7
63,3
64,7
65,5
66,8
67,8
68,6
69,8
70,2
71,0
72,0
73,7
74,0
75,0
76,5
77,5
78,9
79,8
80,4
81,5
82,0
83,0
84,1
85,6
86,5
87,3
88,9
89,2
90,0
91,2
92,1
93,6
94,4
95,4
96,6
97,9
98,8
99,6
100,9
101,0
102,2
103,9
104,1
105,9
106,5
107,7
108,1
109,8
110,7
111,4
112,0
113,9
114,8
115,1
116,4
117,8
118,0
119,5
120,6
121,2
122,6
123,2
124,4
125,7
126,7
127,7
128,2
129,7
130,6
131,2
132,5
133,2
134,2
135,8
136,1
137,5
138,0
139,2
140,5
141,7
142,8
143,6
144,1
145,9
146,2
147,7
148,5
149,2
150,3
151,6
152,1
153,8
154,2
155,3
156,1
157,2
158,0
159,0
160,7
161,0
162,3
163,5
164,6
165,6
166,1
167,2
168,3
169,6
170,6
171,8
172,2
173,7
174,6
175,5
176,9
177,2
178,2
179,5
180,3
181,1
182,4
183,9
184,0
185,5
186,9
187,3
188,8
189,6
190,3
191,5
192,2
193,2
194,4
195,0
196,5
197,7
198,9
199,1
200,8
201,7
202,4
203,1
204,7
205,4
206,0
207,2
208,2
209,2
210,6
211,3
212,4
213,1
214,0
215,2
216,6
217,3
218,4
219,4
220,4
221,1
222,8
223,9
224,2
225,9
226,1
227,1
228,5
229,4
230,6
231,6
232,9
233,4
234,2
235,6
236,6
237,6
238,2
239,7
240,7
241,8
242,2
243,2
244,5
245,3
246,7
247,0
248,2
249,5
250,6
251,2
252,0
253,2
254,9
255,0
256,9
257,9
258,9
259,0
260,4
261,2
262,4
263,3
264,5
265,2
266,8
267,1
268,3
269,3
270,2
271,9
272,1
273,3
274,3
275,3
276,5
277,5
278,2
279,4
280,9
281,8
282,2
283,2
284,6
285,6
286,1
287,0
288,2
289,9
290,8
291,1
292,4
293,1
294,2
295,1
296,8
297,0
298,7
299,6
300,3
301,1
302,0
303,4
304,1
305,9
306,9
307,2
308,9
309,2
310,5
311,5
312,8
313,4
314,3
315,1
316,9
317,5
318,8
319,5
320,2
321,1
322,4
323,2
324,0
325,0
326,4
327,8
328,4
329,2
330,0
331,3
332,6
333,6
334,4
335,7
336,8
337,9
338,3
339,3
340,7
341,6
342,4
343,0
344,5
345,3
346,4
347,1
348,7
349,7
350,7
351,2
352,7
353,8
354,3
355,7
356,2
357,0
358,8
359,8
360,9
361,5
362,9
363,6
364,5
365,5
366,5
367,9
368,6
369,2
370,8
371,9
372,8
373,9
374,7
375,7
376,2
377,5
378,2
379,4
380,8
381,2
382,1
383,9
384,8
385,3
386,5
387,6
388,1
389,7
390,4
391,4
392,7
393,9
394,3
395,1
396,2
397,4
398,5
399,2
400,6
401,3
402,4
403,0
404,5
405,8
406,8
407,5
408,7
409,5
410,1
411,1
412,7
413,7
414,8
415,4
416,8
417,0
418,8
419,2
420,5
421,0
422,3
423,8
424,0
425,4
426,4
427,6
428,5
429,6
430,9
431,8
432,7
433,7
434,6
435,3
436,1
437,7
438,3
439,8
440,1
441,9
442,3
443,7
444,5
445,7
446,7
447,3
448,5
449,7
450,0
451,5
452,3
453,7
454,9
455,5
456,4
457,6
458,8
459,3
460,7
461,7
462,2
463,3
464,0
465,6
466,3
467,1
468,6
469,2
470,8
471,9
472,7
473,3
474,6
475,2
476,0
477,1
478,5
479,2
480,2
481,4
482,7
483,2
484,2
485,0
486,2
487,8
488,7
489,6
490,5
491,7
492,7
493,9
494,4
495,1
496,9
497,3
498,7
499,7
500,2
501,7
502,5
503,5
504,7
505,7
506,2
507,1
508,4
509,2
510,4
511,2
512,6
513,0
514,7
515,0
516,4
517,3
518,5
519,7
520,2
521,9
522,0
523,2
524,1
525,9
526,6
527,7
528,9
529,1
530,9
531,7
532,7
533,7
534,9
535,8
536,7
537,2
538,8
539,2
540,4
541,2
542,7
543,9
544,2
545,7
546,2
547,2
548,8
549,3
550,5
551,3
552,2
553,6
554,8
555,9
556,9
557,3
558,3
559,3
560,1
561,6
562,5
563,7
564,8
565,5
566,9
567,9
568,8
569,3
570,2
571,1
572,3
573,4
574,2
575,8
576,4
577,8
578,1
579,6
580,1
581,8
582,1
583,7
584,2
585,3
586,2
587,5
588,2
589,7
590,0
591,7
592,0
593,3
594,0
595,8
596,0
597,5
598,1
599,3
600,6
601,0
602,9
603,1
604,0
605,7
606,6
607,7
608,1
609,1
610,5
611,7
612,2
613,0
614,8
615,5
616,1
617,8
618,7
619,5
620,3
621,0
622,7
623,3
624,2
625,9
626,3
627,9
628,9
629,3
630,5
631,1
632,5
633,5
634,1
635,3
636,4
637,0
638,0
639,9
640,8
641,0
642,1
643,6
644,8
645,3
646,1
647,1
648,1
649,6
650,1
651,4
652,9
653,2
654,5
655,3
656,8
657,6
658,3
659,1
660,9
661,3
662,2
663,0
664,1
665,3
666,5
667,2
668,6
669,6
670,0
671,8
672,0
673,8
674,1
675,3
676,5
677,9
678,9
679,0
680,7
681,8
682,0
683,5
684,2
685,5
686,0
687,4
688,3
689,8
690,3
691,7
692,3
693,3
694,4
695,8
696,5
697,1
698,8
699,0
700,4
701,5
702,3
703,8
704,3
705,9
706,3
707,2
708,3
709,1
710,6
711,7
712,7
713,5
714,1
715,7
716,9
717,9
718,4
719,0
720,7
721,6
722,4
723,3
724,8
725,0
726,6
727,4
728,5
729,2
730,7
731,3
732,8
733,6
734,3
735,8
736,4
737,5
738,4
739,6
740,6
741,3
742,5
743,1
744,8
745,5
746,1
747,3
748,3
749,9
750,2
751,6
752,3
753,1
754,6
755,0
756,7
757,3
758,9
759,7
760,5
761,7
762,6
763,3
764,1
765,1
766,7
767,4
768,7
769,0
770,1
771,3
772,3
773,8
774,2
775,1
776,4
777,3
778,5
779,1
780,6
781,3
782,4
783,4
784,5
785,1
786,1
787,7
788,4
789,3
790,6
791,8
792,9
793,3
794,8
795,9
796,3
797,3
798,7
799,6
800,5
801,0
802,9
803,5
804,9
805,0
806,6
807,4
808,0
809,7
810,0
811,9
812,7
813,6
814,8
815,2
816,6
817,4
818,9
819,1
820,2
821,0
822,9
823,1
824,8
825,9
826,6
827,6
828,4
829,7
830,5
831,1
832,9
833,5
834,4
835,9
836,7
837,7
838,3
839,9
840,4
841,0
842,2
843,9
844,4
845,1
846,8
847,9
848,3
849,9
850,6
851,4
852,0
853,7
854,0
855,1
856,5
857,0
858,9
859,7
860,5
861,1
862,9
863,0
864,5
865,1
866,0
867,2
868,0
869,0
870,9
871,9
872,2
873,3
874,1
875,1
876,6
877,7
878,3
879,7
880,2
881,3
882,4
883,6
884,4
885,3
886,9
887,5
888,6
889,4
890,6
891,1
892,9
893,6
894,2
895,1
896,7
897,2
898,6
899,9
900,4
901,9
902,2
903,1
904,0
905,4
906,8
907,1
908,9
909,2
910,1
911,9
912,8
913,9
914,7
915,1
916,8
917,4
918,2
919,5
920,5
921,2
922,3
923,7
924,2
925,0
926,1
927,3
928,2
929,7
930,7
931,2
932,0
933,5
934,6
935,7
936,9
937,0
938,2
939,6
940,4
941,8
942,9
943,6
944,5
945,1
946,0
947,8
948,4
949,6
950,0
951,7
952,2
953,4
954,1
955,4
956,9
957,1
958,5
959,0
960,0
961,1
962,7
963,1
964,0
965,8
966,7
967,2
968,9
969,3
970,3
971,5
972,2
973,1
974,6
975,4
976,6
977,0
978,5
979,1
980,7
981,1
982,9
983,0
984,0
985,0
986,8
987,2
988,9
989,7
990,2
991,3
992,6
993,6
994,3
995,3
996,6
997,3
998,1
999,3
