AUSTRALIA - AUSTRALIAN DOLLAR/US$,EURO AREA - EURO/US$,NEW ZEALA - NEW ZELA DOLLAR/US$,UNITED KINGDOM - UNITED KINGDOM POU/US$,BRAZIL - REAL/US$,CANADA - CANADIAN DOLLAR/US$,CHINA - YUAN/US$,HONG KONG - HONG KONG DOLLAR/US$,IIA - IIAN RUPEE/US$,KOREA - WON/US$,MEXICO - MEXICAN PESO/US$,SOUTH AFRICA - RA/US$,SINGAPORE - SINGAPORE DOLLAR/US$,DENMARK - DANISH KRONE/US$,JAPAN - YEN/US$,MALAYSIA - RINGGIT/US$,NORWAY - NORWEGIAN KRONE/US$,SWEDEN - KRONA/US$,SRI LANKA - SRI LANKAN RUPEE/US$,SWITZERLA - FRANC/US$,TAIWAN - NEW TAIWAN DOLLAR/US$,THAILA - BAHT/US$
1.5239,0.97,1.9238,0.619,1.845,1.4518,8.2799,7.7775,43.55,1122.5,9.457,6.85,1.6535,7.218,13.9,3.8,7.934,8.36,72.65,1.5565,3.6,37.13
1.5267,0.9676,1.9339,0.692,1.856,1.4518,8.2798,7.778,43.55,1135,9.535,6.7,1.656,7.28,13.77,3.8,7.935,8.353,72.95,1.5526,3.8,37.1
1.5291,0.9686,1.9436,0.67,1.84,1.4571,8.2797,7.7785,43.55,1146.5,9.567,6.8,1.6655,7.2125,15.19,3.8,7.94,8.3675,72.95,1.554,31.75,37.62
1.5272,0.9714,1.938,0.614,1.831,1.455,8.2794,7.7783,43.55,1138,9.52,6.57,1.6625,7.2285,15.17,3.8,7.966,8.415,73.15,1.5623,3.85,37.3
1.5242,0.9754,1.935,0.617,1.819,1.4568,8.2794,7.7785,43.55,1133.5,9.445,6.765,1.6618,7.254,15.28,3.8,8.24,8.449,73.3,1.574,3.83,37.27
1.529,0.9688,1.9365,0.668,1.8225,1.457,8.2795,7.7785,43.6,1147,9.4825,6.9,1.669,7.214,16.9,3.8,7.969,8.397,73.35,1.565,3.83,37.61
1.522,0.9727,1.9286,0.673,1.835,1.455,8.2796,7.7787,43.6,1144.5,9.515,6.685,1.669,7.236,15.76,3.8,7.977,8.418,73.35,1.566,3.8,37.54
1.4954,0.9737,1.984,0.667,1.814,1.4495,8.2798,7.7788,43.55,1135.5,9.51,6.57,1.67,7.252,16.9,3.8,7.9425,8.417,73.35,1.577,3.8,37.49
1.54,0.9874,1.9186,0.6115,1.85,1.4497,8.2797,7.7789,43.55,1125,9.455,6.75,1.6752,7.347,15.86,3.8,7.997,8.474,73.35,1.5945,3.83,37.55
1.56,0.988,1.9342,0.615,1.7942,1.452,8.2793,7.779,43.6,1127,9.441,6.89,1.6735,7.356,15.49,3.8,8.1,8.468,72.85,1.5942,3.89,37.4
1.574,0.9886,1.9399,0.683,1.793,1.4527,8.2797,7.7798,43.6,1134,9.418,6.114,1.6753,7.3655,15.39,3.8,8,8.487,73.2,1.5965,3.85,37.4
1.52,0.9869,1.9486,0.647,1.7785,1.4484,8.2794,7.7795,43.6,1126,9.48,6.1,1.6765,7.343,15.45,3.8,7.977,8.468,72.95,1.5915,3.85,37.28
1.513,0.991,1.9592,0.659,1.78,1.442,8.2795,7.7792,43.6,1128,9.447,6.128,1.681,7.3725,14.96,3.8,7.999,8.493,73.3,1.5973,3.85,37.23
1.5281,0.9981,1.9759,0.653,1.768,1.44,8.2789,7.7795,43.62,1124.5,9.485,6.1675,1.6825,7.428,15.52,3.8,8.26,8.526,72.95,1.69,3.85,37.3
1.5286,0.9959,1.9732,0.667,1.78,1.4389,8.2786,7.78,43.59,1127,9.525,6.1617,1.6867,7.412,15.87,3.8,8.36,8.521,73.45,1.685,3.85,37.27
1.5373,0.9989,1.9763,0.699,1.781,1.4379,8.2782,7.785,43.65,1127.8,9.5175,6.175,1.695,7.433,15.85,3.8,8.675,8.5285,73.4,1.612,3.85,37.48
1.5267,1.111,1.9716,0.6111,1.78,1.435,8.2783,7.785,43.63,1125,9.52,6.227,1.693,7.525,14.91,3.8,8.1475,8.615,73.45,1.6317,3.83,37.46
1.5962,1.241,2.534,0.6169,1.79,1.4495,8.2781,7.78,43.65,1121,9.581,6.3575,1.71,7.6165,17.15,3.8,8.27,8.82,73.5,1.6485,3.75,37.65
1.5669,1.249,2.19,0.618,1.82,1.4517,8.2777,7.781,43.65,1124,9.64,6.3125,1.71,7.633,17.33,3.8,8.31,8.815,73.5,1.6495,3.75,37.55
1.5835,1.276,2.392,0.6192,1.795,1.4468,8.2774,7.787,43.62,1127,9.597,6.28,1.699,7.6445,17.67,3.8,8.277,8.768,73.55,1.654,31.75,37.51
1.5723,1.238,2.416,0.6227,1.785,1.4435,8.2773,7.785,43.65,1131,9.575,6.2825,1.6985,7.6215,18.4,3.8,8.225,8.78,73.25,1.652,3.8,37.65
1.5657,1.114,2.133,0.624,1.775,1.4417,8.2781,7.7812,43.65,113.5,9.51,6.2575,1.6925,7.52,17.92,3.8,8.158,8.577,73.55,1.6255,3.8,37.59
